nct_id,phases,enrollment,enrollment_type,start_date,primary_completion_date,sponsor_class,n_conditions,n_sites,n_countries
NCT00117767,PHASE3,720,,2004-06,2006-03,INDUSTRY,1,1,1
NCT00356967,PHASE3,602,ACTUAL,2006-06,2007-06,INDUSTRY,1,6,6
NCT05965700,PHASE1|PHASE2,24,ACTUAL,2023-08-08,2025-12-31,INDUSTRY,3,1,1
NCT03713294,PHASE2,37,ACTUAL,2019-01-14,2024-02-20,OTHER,1,1,1
NCT05024994,PHASE2,12,ACTUAL,2021-08-13,2025-06-19,OTHER,3,7,1
NCT03145766,PHASE2,320,ACTUAL,2017-04-17,2018-01-08,INDUSTRY,1,5,1
NCT00162656,PHASE3,848,ACTUAL,1996-05,2004-05,OTHER,1,3,3
NCT00310856,PHASE2,175,ACTUAL,2005-06,2006-11,INDUSTRY,1,3,1
NCT00756951,PHASE2,59,,2008-09,,INDUSTRY,2,19,1
NCT01569451,PHASE2,53,ACTUAL,2012-02,2015-05,OTHER,1,1,1
NCT02067351,PHASE2,6,ACTUAL,2014-04,2017-01,OTHER,1,1,1
NCT00691002,PHASE3,1245,ACTUAL,2008-05,2010-01,INDUSTRY,1,11,4
NCT03324802,PHASE3,107,ACTUAL,2018-02-07,2022-01-31,OTHER,7,3,1
NCT00000153,PHASE3,,,1984-12,,NIH,3,0,0
NCT00654537,PHASE3,5625,ESTIMATED,2001-04,,INDUSTRY,1,0,0
NCT02404337,PHASE2,12,ACTUAL,2015-07,2017-12,OTHER,1,1,1
NCT01911845,PHASE2,38,ACTUAL,2013-04,2013-12,INDUSTRY,2,0,0
NCT00003195,PHASE2,,,1997-12,,OTHER,1,1,1
NCT02433639,PHASE2,24,ACTUAL,2015-04,2017-10,OTHER,1,1,1
NCT01714739,PHASE1|PHASE2,337,ACTUAL,2012-10-07,2019-12-13,INDUSTRY,1,30,6
NCT02978612,PHASE2,170,ESTIMATED,2016-06,2022-11,OTHER,1,1,1
NCT02597712,PHASE2,27,ACTUAL,2013-05-15,2017-11-28,INDUSTRY,1,2,2
NCT02913612,PHASE2,105,ACTUAL,2017-05-05,2020-10-20,OTHER,1,12,1
NCT00398281,PHASE3,450,ESTIMATED,2006-11,2010-07,OTHER,1,1,1
NCT00027781,PHASE2,37,ACTUAL,2001-08,2003-03,NETWORK,1,10,6
NCT02497781,PHASE2,97,ACTUAL,2015-09-24,2017-09-15,INDUSTRY,1,28,9
NCT00520481,PHASE2,41,ACTUAL,2007-08,2012-01,INDUSTRY,1,3,1
NCT03828019,PHASE3,227,ACTUAL,2019-09-16,2024-04-02,OTHER,1,26,3
NCT05430919,PHASE2,217,ACTUAL,2022-08-15,2023-07-31,INDUSTRY,2,3,1
NCT02711319,PHASE3,31,ACTUAL,2010-12,2015-06,OTHER,1,0,0
NCT00874419,PHASE3,165,ACTUAL,2008-08,2010-07,OTHER,1,1,1
NCT01861119,PHASE3,90,ACTUAL,2013-04-01,2014-02-01,OTHER,1,1,1
NCT05139030,PHASE3,167,ACTUAL,2022-01-18,2022-07-11,INDUSTRY,2,6,1
NCT00003928,PHASE2,32,ACTUAL,1999-01,2005-02,OTHER,1,1,1
NCT00844428,PHASE2,5,ACTUAL,2009-07,2010-10,INDUSTRY,1,13,7
NCT00501969,PHASE3,395,ACTUAL,2004-08,2008-12,INDUSTRY,1,53,17
NCT00666783,PHASE2,208,ACTUAL,,,OTHER,1,1,1
NCT00612183,PHASE2,56,ESTIMATED,2007-12,2009-09,INDUSTRY,2,17,1
NCT00688883,PHASE2,52,ACTUAL,2003-02,2004-08,INDUSTRY,1,17,1
